feature_id,category,category_zh,side,kind,geometry_type,gate_index,source,symmetry,default_traversability,capability_tag,height_difference_m,physical_direction,center_x_m,center_y_m,center_x_px,center_y_px,field_geometry_m,note
blue_fly_ramp,fly_ramp,飞坡,blue,crossing_gate,polygon,1,user_annotation,blue_direct,vehicle_dependent,fly_ramp_capable,,blue_right_to_left,14.006,14.887,1169,84,"[[12.8678, 15.0], [15.1442, 15.0], [15.1442, 14.41], [12.8678, 14.41]]",用户标注的飞坡通路。 常规为单向飞坡；反向飞坡仅对有明确证据的机器人开放。
red_fly_ramp,fly_ramp,飞坡,red,crossing_gate,polygon,1,user_annotation_derived,red_180_rotated_from_blue,vehicle_dependent,fly_ramp_capable,,red_left_to_right,13.982,0.1263,1167,1198,"[[15.1202, 0.0], [12.8438, 0.0], [12.8438, 0.6033], [15.1202, 0.6033]]",用户标注的飞坡通路。 常规为单向飞坡；反向飞坡仅对有明确证据的机器人开放。
blue_road_tunnel,road_tunnel,公路隧道,blue,crossing_gate,polygon,2,user_annotation,blue_direct,vehicle_dependent,road_tunnel_fit,,asymmetric_up_down,18.5588,13.1777,1549,213,"[[18.9183, 13.9727], [18.9183, 12.3827], [18.1994, 12.3827], [18.1994, 13.9727]]",公路与中央高地之间的隧道通路。 上行与下行分开建模，通行能力和代价可以不同。
red_road_tunnel,road_tunnel,公路隧道,red,crossing_gate,polygon,2,user_annotation_derived,red_180_rotated_from_blue,vehicle_dependent,road_tunnel_fit,,asymmetric_up_down,9.4292,1.8355,787,1069,"[[9.0697, 1.0405], [9.0697, 2.6306], [9.7886, 2.6306], [9.7886, 1.0405]]",公路与中央高地之间的隧道通路。 上行与下行分开建模，通行能力和代价可以不同。
blue_road_step,road_step,公路台阶,blue,crossing_gate,polygon,3,user_annotation,blue_direct,vehicle_dependent,road_step_capable,,asymmetric_up_down,19.6731,13.1777,1642,213,"[[20.0325, 13.9727], [20.0325, 12.3827], [19.3136, 12.3827], [19.3136, 13.9727]]",与公路隧道并列的公路台阶。 上行与下行分开建模，通行能力和代价可以不同。
red_road_step,road_step,公路台阶,red,crossing_gate,polygon,3,user_annotation_derived,red_180_rotated_from_blue,vehicle_dependent,road_step_capable,,asymmetric_up_down,8.3149,1.8355,694,1069,"[[7.9555, 1.0405], [7.9555, 2.6306], [8.6744, 2.6306], [8.6744, 1.0405]]",与公路隧道并列的公路台阶。 上行与下行分开建模，通行能力和代价可以不同。
blue_rough_road,rough_road,起伏路段,blue,crossing_gate,polygon,4,user_annotation,blue_direct,vehicle_dependent,rough_terrain_capable,,asymmetric_up_down,22.2011,14.3172,1853,127,"[[21.1827, 14.9135], [23.2195, 14.9135], [23.2195, 13.721], [21.1827, 13.721]]",起伏路段的轨迹检测区。 上行与下行分开建模，通行能力和代价可以不同。
red_rough_road,rough_road,起伏路段,red,crossing_gate,polygon,4,user_annotation_derived,red_180_rotated_from_blue,vehicle_dependent,rough_terrain_capable,,asymmetric_up_down,5.7869,0.696,483,1155,"[[6.8053, 0.0998], [4.7685, 0.0998], [4.7685, 1.2923], [6.8053, 1.2923]]",起伏路段的轨迹检测区。 上行与下行分开建模，通行能力和代价可以不同。
blue_central_highland_step,central_highland_step,中央高地台阶,blue,crossing_gate,polygon,5,user_annotation,blue_direct,vehicle_dependent,central_highland_step_capable,,asymmetric_up_down,18.3552,7.4536,1532,645,"[[17.2169, 9.0436], [19.4934, 9.0436], [19.4934, 5.8636], [17.2169, 5.8636]]",中央高地边缘最凸出的常规台阶跨越点；纵向宽度取中央高地内部白色竖线的 OpenCV 检测长度。 上行与下行分开建模，通行能力和代价可以不同。
red_central_highland_step,central_highland_step,中央高地台阶,red,crossing_gate,polygon,5,user_annotation_derived,red_180_rotated_from_blue,vehicle_dependent,central_highland_step_capable,,asymmetric_up_down,9.6329,7.5596,804,637,"[[10.7711, 5.9696], [8.4947, 5.9696], [8.4947, 9.1496], [10.7711, 9.1496]]",中央高地边缘最凸出的常规台阶跨越点；纵向宽度取中央高地内部白色竖线的 OpenCV 检测长度。 上行与下行分开建模，通行能力和代价可以不同。
